family_id,method,reference,metric,n_patients,n_records,n_windows,window_policy,effect_definition,higher_is_better,method_mean,reference_mean,mean,sd,ci95_low,ci95_high,p_value_raw,p_value_holm,cohen_dz,effect_size_status,method_wins,reference_wins,ties,interpretation
frozen_repaired_physiology_120_exploratory,pretrained_hard_lag,pretrained_corr,test_mse,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.09080918144614619,0.0880421927517223,0.002766988694423888,0.016758997907740856,-0.002209819358886726,0.007743796747734502,0.2687427483453287,1.0,0.16510466256134781,defined,19,27,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_hard_lag,pretrained_mse,test_mse,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.09080918144614619,0.09791605581042374,-0.007106874364277575,0.021684784084759916,-0.013546460350351782,-0.000667288378203369,0.03129611674104691,1.0,-0.32773553734723565,defined,30,16,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_soft_lag,pretrained_corr,test_mse,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.0905072788113194,0.0880421927517223,0.0024650860595971133,0.014814162902293291,-0.0019341772878333744,0.006864349407027601,0.26505433992369976,1.0,0.1664006313320281,defined,24,22,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_soft_lag,pretrained_mse,test_mse,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.0905072788113194,0.09791605581042374,-0.007408776999104348,0.02339529694997778,-0.014356322604827151,-0.00046123139338154467,0.037149563774880275,1.0,-0.31667804922268294,defined,30,16,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_soft_lag,pretrained_hard_lag,test_mse,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.0905072788113194,0.09080918144614619,-0.0003019026348267746,0.009568887854856836,-0.003143511566305973,0.0025397062966524236,0.831525017644734,1.0,-0.03155044132673571,defined,28,18,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_mse,random_mse,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.25240394650397496,0.24973388777398647,0.002670058729988573,0.0326687209228061,-0.00703135386490656,0.012371471324883705,0.5820983033769137,1.0,0.08173135202623129,defined,24,22,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,matched_1d_mse,random_mse,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.25154360288233446,0.24973388777398647,0.0018097151083480468,0.024206016181222742,-0.005378584390969438,0.008998014607665531,0.6145833976370928,1.0,0.07476302976909896,defined,25,21,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_mse,matched_1d_mse,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.25240394650397496,0.25154360288233446,0.000860343621640526,0.032981347420940305,-0.008933907583424367,0.010654594826705421,0.8603633671452081,1.0,0.026085763284925168,defined,22,24,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_corr,pretrained_mse,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.23827610946879543,0.25240394650397496,-0.01412783703517954,0.03159919064075804,-0.023511638341484578,-0.004744035728874505,0.004017757817829576,0.45400663341474207,-0.44709490175855415,defined,30,16,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
frozen_repaired_physiology_120_exploratory,pretrained_spectral,pretrained_mse,test_mae,46,53,not_applicable,not_applicable_waveform,method_minus_reference,False,0.24424362701774333,0.25240394650397496,-0.008160319486231651,0.024457949501594686,-0.015423433946719651,-0.0008972050257436527,0.028515106581057766,1.0,-0.3336469185897857,defined,25,21,0,exploratory_descriptive_CV_dependence_single_pretrain_conditional
