method,metric,n_patients,n_records,n_windows,reference_valid_windows,coverage,window_policy,mean,sd,ci95_low,ci95_high,evidence_role,inference_caveat
pretrained_soft_lag,rr_fft_full_grid_sensitivity_mae_bpm,46,53,23850,23850,1.0,full_grid_sensitivity,1.3681443591929527,1.9049083968097686,0.8024563925107112,1.9338323258751942,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
depth1,rr_manual_primary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.7117280732807767,1.8489657823609893,1.1626530124324417,2.2608031341291115,primary_manual_reference,descriptive_patient_t_interval_CV_training_overlap
depth1,rr_fft_secondary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.4913295210215647,1.792217327702884,0.9591066710100685,2.0235523710330607,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
depth1,rr_fft_full_grid_sensitivity_mae_bpm,46,53,23850,23850,1.0,full_grid_sensitivity,1.4944112910864829,1.796165935333825,0.9610158493505164,2.0278067328224494,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
depth2_diagonal,rr_manual_primary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.7802303501873116,2.1593502444752657,1.138982481682063,2.42147821869256,primary_manual_reference,descriptive_patient_t_interval_CV_training_overlap
depth2_diagonal,rr_fft_secondary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.5368222863230396,2.077846929833198,0.9197779146446984,2.1538666580013808,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
depth2_diagonal,rr_fft_full_grid_sensitivity_mae_bpm,46,53,23850,23850,1.0,full_grid_sensitivity,1.539263048214455,2.0810158643868983,0.9212776191355404,2.1572484772933693,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
depth3_diagonal,rr_manual_primary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.7009174226427077,2.045517018766569,1.093473849451542,2.3083609958338736,primary_manual_reference,descriptive_patient_t_interval_CV_training_overlap
depth3_diagonal,rr_fft_secondary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.4909194834045063,1.950619620343854,0.9116569589436019,2.0701820078654105,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
depth3_diagonal,rr_fft_full_grid_sensitivity_mae_bpm,46,53,23850,23850,1.0,full_grid_sensitivity,1.4930851567680212,1.9523454895608183,0.9133101124139088,2.0728602011221335,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
depth3_lowrank,rr_manual_primary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.7206159466755186,2.2194628851365663,1.0615168274095823,2.379715065941455,primary_manual_reference,descriptive_patient_t_interval_CV_training_overlap
depth3_lowrank,rr_fft_secondary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,1.504904880355954,2.1223756124859565,0.8746371221929589,2.135172638518949,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
depth3_lowrank,rr_fft_full_grid_sensitivity_mae_bpm,46,53,23850,23850,1.0,full_grid_sensitivity,1.506535947712418,2.124017447569973,0.875780624713308,2.137291270711528,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
bandpass_fft,rr_manual_primary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,3.334072897325432,2.6849484167857174,2.53674163820458,4.131404156446284,primary_manual_reference,descriptive_patient_t_interval_CV_training_overlap
bandpass_fft,rr_fft_secondary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,3.076326036999407,2.777911840533432,2.2513880487341322,3.9012640252646817,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
bandpass_fft,rr_fft_full_grid_sensitivity_mae_bpm,46,53,23850,23850,1.0,full_grid_sensitivity,3.0758264658520416,2.777449873880651,2.2510256647485876,3.9006272669554956,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
envelope_fft,rr_manual_primary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,6.099842487246882,3.013196884262077,5.205033465707511,6.994651508786252,primary_manual_reference,descriptive_patient_t_interval_CV_training_overlap
envelope_fft,rr_fft_secondary_mae_bpm,46,53,23838,23838,1.0,reference_only_common_mask,5.95913670212973,3.040164593034905,5.056319259625169,6.861954144634292,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
envelope_fft,rr_fft_full_grid_sensitivity_mae_bpm,46,53,23850,23850,1.0,full_grid_sensitivity,5.960239651416122,3.0391971945966407,5.057709490786338,6.862769812045907,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
bandpass_autocorrelation_corrected,rr_manual_primary_mae_bpm,46,53,23838,23838,1.0,autocorrelation_coverage_conditioned,5.824988330966834,3.1655790473905596,4.884927392766716,6.765049269166951,primary_manual_reference,descriptive_patient_t_interval_CV_training_overlap
bandpass_autocorrelation_corrected,rr_fft_secondary_mae_bpm,46,53,23838,23838,1.0,autocorrelation_coverage_conditioned,5.891622630459441,3.0361052196933493,4.990010673035125,6.793234587883757,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
bandpass_autocorrelation_corrected,rr_fft_full_grid_sensitivity_mae_bpm,46,53,23850,23850,1.0,full_grid_autocorrelation_coverage_conditioned,5.891840831713485,3.0361370627603517,4.990219418065523,6.793462245361447,secondary_sensitivity,descriptive_patient_t_interval_CV_training_overlap
pretrained_mse,test_mse,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.09791605581042374,0.05460691489621282,0.081699803781632,0.11413230783921549,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_mse,test_mae,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.25240394650397496,0.08160365532544014,0.22817065217223884,0.27663724083571106,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_mse,waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.20007728962388868,0.35765640754392003,0.09386644699584819,0.3062881322519292,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
pretrained_mse,max_lag_waveform_correlation,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.5324157902847351,0.19570646509852982,0.474298144053785,0.5905334365156851,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
random_mse,test_mse,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.09502730199784166,0.05043962773947175,0.08004858149666873,0.1100060224990146,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
random_mse,test_mae,46,53,not_applicable,not_applicable,1.0,not_applicable_waveform,0.24973388777398647,0.0796358190291966,0.22608496868835132,0.27338280685962163,corrected_waveform_endpoint,descriptive_patient_t_interval_CV_training_overlap
