dataset,metric,paired_seeds,kaiming_mean,lowrank_mean,mean_paired_difference,ci95_low,ci95_high,lowrank_wins,source
fashion,Epoch-0,10,9.535,59.451666666666675,49.91666666666667,44.07246067113421,55.760872662199134,10,outputs_convergence50
fashion,Post-update AULC,10,83.20666666666668,85.65956666666668,2.452900000000001,1.7888407581383785,3.1169592418616237,10,submission_control_results/aulc_recomputed_rows.csv
fashion,Final test,10,84.976,86.966,1.9899999999999978,1.5129854888580436,2.467014511141952,10,outputs_convergence50
cifar10,Epoch-0,10,9.492,30.427999999999997,20.936,18.107237617872755,23.764762382127245,10,outputs_convergence50
cifar10,Post-update AULC,10,55.6484,56.31676,0.6683600000000041,-0.0950361358222761,1.4317561358222841,8,submission_control_results/aulc_recomputed_rows.csv
cifar10,Final test,10,59.931000000000004,59.877,-0.054000000000002046,-0.608271549102065,0.500271549102061,5,outputs_convergence50
sign,Epoch-0,10,9.666666666666668,73.66666666666666,64.0,58.34600365875167,69.65399634124833,10,outputs_convergence50
sign,Post-update AULC,10,47.11666666666667,89.73333333333332,42.61666666666666,38.83338628741126,46.39994704592206,10,submission_control_results/aulc_recomputed_rows.csv
sign,Final test,10,74.85714285714286,94.64285714285714,19.785714285714285,17.039,22.532428571428568,10,outputs_convergence50
