dataset,contrast,metric,paired_seeds,reference_mean,method_mean,mean_paired_difference,ci95_low,ci95_high,p_value_raw,p_value_holm_across_tasks,holm_significant_0p05
fashion,head_fit_effect_on_kaiming_conv,initial_validation_accuracy,10,9.535,72.875,63.34000000000001,61.86867221934405,64.81132778065597,6.438178489356457e-15,1.931453546806937e-14,True
fashion,head_fit_effect_on_kaiming_conv,post_training_aulc,10,83.20666666666668,84.23053333333334,1.023866666666666,0.7207972991642784,1.3269360341690537,3.183949220528878e-05,6.367898441057756e-05,True
fashion,head_fit_effect_on_kaiming_conv,final_test_accuracy,10,84.976,85.69299999999998,0.7169999999999973,0.5353359623279628,0.8986640376720318,9.11425324272184e-06,1.822850648544368e-05,True
fashion,di_conv_effect_with_fitted_head,initial_validation_accuracy,10,72.875,59.451666666666675,-13.423333333333328,-18.978831890088163,-7.867834776578495,0.00039737918046916447,0.0007947583609383289,True
fashion,di_conv_effect_with_fitted_head,post_training_aulc,10,84.23053333333334,85.65956666666668,1.4290333333333352,0.7528116651360927,2.1052550015305775,0.0010005344431539723,0.0020010688863079445,True
fashion,di_conv_effect_with_fitted_head,final_test_accuracy,10,85.69299999999998,86.96600000000001,1.2730000000000004,0.7848764308553431,1.7611235691446576,0.00022918950739705157,0.00045837901479410314,True
cifar10,head_fit_effect_on_kaiming_conv,initial_validation_accuracy,10,9.492,39.688,30.196000000000005,28.888240963694592,31.503759036305418,1.7358787216599113e-12,3.4717574433198225e-12,True
cifar10,head_fit_effect_on_kaiming_conv,post_training_aulc,10,55.6484,55.91512,0.26672000000000223,-0.1394005319027518,0.6728405319027563,0.17152884382530784,0.17152884382530784,False
cifar10,head_fit_effect_on_kaiming_conv,final_test_accuracy,10,59.931,59.42999999999999,-0.5010000000000012,-0.903475417732913,-0.09852458226708949,0.02018082748607294,0.02018082748607294,True
cifar10,di_conv_effect_with_fitted_head,initial_validation_accuracy,10,39.688,30.427999999999997,-9.26,-11.780701379032244,-6.739298620967756,1.6312665630803533e-05,4.89379968924106e-05,True
cifar10,di_conv_effect_with_fitted_head,post_training_aulc,10,55.91512,56.31676,0.4016400000000019,-0.09274656513541568,0.8960265651354195,0.09926152979677286,0.09926152979677286,False
cifar10,di_conv_effect_with_fitted_head,final_test_accuracy,10,59.42999999999999,59.876999999999995,0.4469999999999992,0.029946310305910218,0.8640536896940881,0.03832106633145354,0.03832106633145354,True
sign,head_fit_effect_on_kaiming_conv,initial_validation_accuracy,10,9.666666666666668,78.66666666666667,69.0,64.8242469621843,73.1757530378157,3.481205213693661e-11,3.481205213693661e-11,True
sign,head_fit_effect_on_kaiming_conv,post_training_aulc,10,47.11666666666667,76.18666666666665,29.07,25.167736193104055,32.972263806895945,4.0885299873342497e-08,1.226558996200275e-07,True
sign,head_fit_effect_on_kaiming_conv,final_test_accuracy,10,74.85714285714286,89.07142857142857,14.214285714285714,11.032844019592488,17.39572740897894,3.2745502211698925e-06,9.823650663509678e-06,True
sign,di_conv_effect_with_fitted_head,initial_validation_accuracy,10,78.66666666666667,73.66666666666666,-5.000000000000002,-11.308854906169984,1.308854906169981,0.10659080233172251,0.10659080233172251,False
sign,di_conv_effect_with_fitted_head,post_training_aulc,10,76.18666666666665,89.73333333333332,13.546666666666663,10.024270655503019,17.069062677830306,1.1257610274670417e-05,3.3772830824011254e-05,True
sign,di_conv_effect_with_fitted_head,final_test_accuracy,10,89.07142857142857,94.64285714285714,5.571428571428572,3.995594935912975,7.147262206944169,2.2180065447687503e-05,6.65401963430625e-05,True
