study,dataset,model,corruption,reference,method,metric,paired_seeds,reference_mean,method_mean,mean_paired_difference,paired_difference_std,ci95_low,ci95_high,method_greater_count,raw_p,family,correction_scope,holm_p_scope,holm_p_family_wide,holm_p_all_378,included_in_replacement_registry,analysis_status
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,pca,worst_accuracy,5,49.171333312988274,53.48066647847493,4.309333165486653,1.906844533061472,1.9416729586125565,6.67699337236075,5,0.007214080197343009,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=worst_accuracy,0.18035200493357523,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,kmeans,normalised_accuracy_auc,5,59.970388478702965,67.27833340565364,7.307944926950666,1.080655632273397,5.966133733900664,8.649756120000669,5,0.00011148649463515054,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=normalised_accuracy_auc,0.0046824327746763225,0.03032432654076095,0.03902027312230269,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,kmeans,mean_accuracy_drop,5,9.322331945101421,3.3376672863960266,-5.984664658705394,1.293319815980282,-7.590533312371627,-4.3787960050391606,0,0.0004923855300998736,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_accuracy_drop,0.021172577794294566,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,kmeans,mean_retention,5,0.864317882634737,0.9524860009201843,0.08816811828544728,0.018159369191788344,0.06562028332991311,0.11071595324098145,5,0.00040850243489805126,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_retention,0.017565604700616202,0.10457662333390112,0.13439730108145886,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,kmeans,mean_consistency,5,0.7648683349291484,0.8742149968942007,0.10934666196505227,0.03330451428451741,0.06799364560030402,0.15069967832980052,5,0.0018327620472733265,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_consistency,0.06964495779638641,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,kmeans,worst_accuracy,5,49.171333312988274,62.0846672852834,12.913333972295126,1.4766103818273495,11.079880021806192,14.74678792278406,5,4.032623140514072e-05,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=worst_accuracy,0.0017743541818261918,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,di_wmf,normalised_accuracy_auc,5,59.970388478702965,66.94861140516069,6.978222926457725,0.9250468079274307,5.829625608400923,8.126820244514528,5,7.240674478002114e-05,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=normalised_accuracy_auc,0.00318589677032093,0.019911854814505813,0.025631987652127482,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,di_wmf,mean_accuracy_drop,5,9.322331945101421,3.6425002415974936,-5.679831703503926,1.4692017899527938,-7.5040866721848385,-3.8555767348230137,0,0.0009849416909757107,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_accuracy_drop,0.04136755102097985,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,di_wmf,mean_retention,5,0.864317882634737,0.9480897850653884,0.08377190243065151,0.020301851954217128,0.05856382376223737,0.10897998109906565,5,0.000766821009020716,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_retention,0.03143966136984936,0.18710432620105472,0.24078179683250484,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,brightness,kaiming,di_wmf,mean_consistency,5,0.7648683349291484,0.8694300035635629,0.1045616686344147,0.03274299548749112,0.06390586994424866,0.14521746732458074,5,0.0020344322064650235,first_layer_corruption,first_layer_corruption|dataset=fashion|metric=mean_consistency,0.07527399163920587,,,False,"exploratory_repair; inherited retrospective scope, not preregistered"
