dataset,method,runs,device_resolved,mean_initial_val_accuracy,std_initial_val_accuracy,ci95_low_initial_val_accuracy,ci95_high_initial_val_accuracy,mean_validation_aulc,std_validation_aulc,ci95_low_validation_aulc,ci95_high_validation_aulc,mean_test_accuracy,std_test_accuracy,ci95_low_test_accuracy,ci95_high_test_accuracy,mean_conv1_drift,std_conv1_drift,ci95_low_conv1_drift,ci95_high_conv1_drift
cifar10,di_wmf,5,cuda,9.052000000000001,2.0216626820515833,6.541774231184487,11.562225768815516,28.525199999999995,1.8748107104451914,26.19731503739338,30.85308496260661,34.44,1.1349889867307097,33.03072503681871,35.84927496318129,0.013470051996409892,0.0022263865416760568,0.01070562798152535,0.016234476011294435
cifar10,gabor,5,cuda,10.98,2.0926538175245333,8.381627094076118,13.578372905923883,30.4048,1.1328367931877914,28.99819733805812,31.811402661941884,37.123999999999995,0.7652646601013271,36.17379842245454,38.07420157754545,0.008176240418106318,0.0014853462272518374,0.006331939482859925,0.01002054135335271
cifar10,kaiming,5,cuda,9.024000000000001,1.0318333198729337,7.742809714566711,10.30519028543329,27.878800000000002,1.6119780395526473,25.877264902392398,29.880335097607606,33.408,1.0464798134699012,32.10862369076744,34.707376309232565,0.008623531367629767,0.002714015416505123,0.005253636134385361,0.011993426600874173
cifar10,kmeans,5,cuda,9.204,1.7078290312557638,7.083450176802508,11.324549823197493,28.5336,1.8680077087635385,26.21416207966121,30.85303792033879,34.462,1.207836909520488,32.962272393746716,35.96172760625329,0.013368092477321625,0.002336301608661738,0.010467190880900805,0.016268994073742445
cifar10,lowrank_wmf,5,cuda,8.648,1.3319609603888547,6.994152028472249,10.301847971527751,31.406800000000004,2.526812458414752,28.26934794017366,34.54425205982635,37.676,1.1750872308045919,36.216936490760986,39.13506350923902,0.01602851115167141,0.007037232453626518,0.007290632967012222,0.0247663893363306
cifar10,pca,5,cuda,9.448000000000002,2.1101943038497666,6.827847703695092,12.068152296304913,31.738400000000002,2.5612927985687213,28.558134943158656,34.91866505684135,38.55400000000001,1.011177531395946,37.298457263473104,39.809542736526915,0.00560567257925868,0.0012495621178379246,0.00405413628402008,0.00715720887449728
cifar10,random_stem,5,cuda,9.596,2.140392487372351,6.938351706403947,12.253648293596054,28.922800000000002,1.2769139360191828,27.33730193684032,30.508298063159685,34.553999999999995,1.3069544751061537,32.93120168096939,36.1767983190306,0.03465291261672974,0.008643052171594135,0.023921145900664437,0.04538467933279504
fashion,di_wmf,5,cuda,10.466666666666665,3.2346861431125653,6.450273337275204,14.483059996058126,59.30766666666666,3.293521966595098,55.21821901345227,63.397114319881055,70.182,1.5467611321726404,68.26144238836034,72.10255761163967,0.01765975970774889,0.0026916545365531217,0.014317629174109042,0.02100189024138874
fashion,gabor,5,cuda,10.57,3.485214802881197,6.24253425325559,14.89746574674441,60.20766666666667,3.439809143607304,55.93657949235735,64.47875384097598,71.068,1.60717765041703,69.07242537275945,73.06357462724054,0.005361332837492227,0.001434937537955666,0.0035796225569415295,0.007143043118042925
fashion,kaiming,5,cuda,8.556666666666667,2.2131111836306627,5.808726185930354,11.30460714740298,54.36099999999999,3.23470709647721,50.344580653570006,58.377419346429974,68.69000000000001,1.7565733688064344,66.50892608774956,70.87107391225047,0.016364974714815617,0.003612350924472905,0.011879648623019526,0.02085030080661171
fashion,kmeans,5,cuda,9.676666666666666,3.0355898200441307,5.907484073804026,13.445849259529306,59.45366666666666,3.3859971861247065,55.24939586263636,63.657937470696965,70.23400000000001,1.4887175689162788,68.38551299118323,72.08248700881678,0.016916790045797825,0.002967124028730319,0.013232618961118077,0.020600961130477574
fashion,lowrank_wmf,5,cuda,10.753333333333334,3.57286066525597,6.317040874686646,15.18962579198002,61.15200000000001,2.963446613882783,57.472395028942906,64.83160497105712,71.69800000000001,1.3779586350830706,69.98703837180337,73.40896162819665,0.012218519672751426,0.0028837719683157056,0.008637843840664608,0.015799195504838243
fashion,pca,5,cuda,9.97,1.108076411324297,8.594141412799795,11.345858587200206,57.346333333333334,2.839421253628201,53.8207261869686,60.87194047969807,69.65799999999999,1.7998249914922302,67.42322210499668,71.89277789500329,0.0056876540184021,0.00112625057304526,0.004289229228895442,0.007086078807908757
fashion,random_stem,5,cuda,10.059999999999999,0.1843155506793233,9.831142016412382,10.288857983587615,54.803,2.349466665247903,51.88575182678182,57.720248173218174,69.08599999999998,1.0317606311543372,67.80489996953165,70.36710003046832,0.05274932608008385,0.008260722968327217,0.04249228377117701,0.06300636838899068
sign,di_wmf,10,cuda,9.833333333333334,0.5270462766947297,9.456307139533633,10.210359527133035,14.48333333333333,2.69596177208491,12.55475846143948,16.41190820522718,18.0,5.214231354358957,14.269963591330548,21.730036408669452,0.0008460168646706734,0.0005194226000570153,0.00047444432060264895,0.0012175894087386979
sign,gabor,10,cuda,9.333333333333334,2.1081851067789192,7.8252285581345316,10.841438108532136,11.799999999999999,1.9161432457599836,10.42927369631655,13.170726303683448,19.0,3.302579216076134,16.637477150264754,21.362522849735246,0.00029594361512863543,0.00012745218385615227,0.00020476981522609406,0.0003871174150311768
sign,kaiming,10,cuda,9.666666666666668,1.0540925533894598,8.912614279067267,10.420719054266069,10.8,0.9256295822070458,10.13784448599745,11.462155514002552,16.142857142857146,4.520048561936871,12.909409188752834,19.37630509696146,0.00029660284082639877,0.0002023837215739593,0.00015182624794242278,0.0004413794337103748
sign,kmeans,10,cuda,9.166666666666668,1.6197088596792502,8.007996748233246,10.32533658510009,15.6,3.351984855147141,13.202134485161414,17.997865514838583,19.428571428571427,6.234277275829768,14.96883812557062,23.888304731572234,0.0005740664943004959,0.0002591882032612316,0.00038865442315144547,0.0007594785654495462
sign,lowrank_wmf,10,cuda,10.166666666666666,0.5270462766947297,9.789640472866965,10.543692860466367,13.366666666666665,2.469317894520172,11.600223057784719,15.133110275548612,18.142857142857142,5.483432064946584,14.220246146776622,22.065468138937664,0.0007674086278711912,0.0004076963488659847,0.00047576022917088364,0.0010590570265714987
sign,pca,10,cuda,11.0,2.2498285257018433,9.390569626889388,12.609430373110612,12.15,2.0689503511576963,10.669962078188911,13.63003792181109,19.0,5.326100537802071,15.189937198389217,22.810062801610783,0.0002023777350405709,0.0001887419711565163,6.735986252724097e-05,0.00033739560755390084
sign,random_stem,10,cuda,9.833333333333334,1.229774645621036,8.953605547800699,10.71306111886597,10.716666666666665,1.721415581705437,9.485240142248172,11.948093191085158,14.642857142857142,5.13149096720293,10.972009641542442,18.313704644171843,0.0012888601397571975,0.0009774886289019408,0.0005896068985643979,0.001988113380949997
