study,dataset,model,corruption,reference,method,metric,paired_seeds,reference_mean,method_mean,mean_paired_difference,paired_difference_std,ci95_low,ci95_high,method_greater_count,raw_p,family,correction_scope,holm_p_scope,holm_p_family_wide,holm_p_all_378,included_in_replacement_registry,analysis_status
shared_downstream_repair_20260908,fashion,standard,,kaiming,kmeans,test_accuracy,5,68.69000000000001,70.23400000000001,1.543999999999997,0.5320996147339332,0.8833110649267789,2.204688935073215,5,0.0029091798827312696,first_layer_training,first_layer_training|dataset=fashion|metric=test_accuracy,0.014545899413656348,0.16873243319841363,0.808752007399293,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,kmeans,conv1_drift,5,0.016364974714815617,0.016916790045797825,0.0005518153309822082,0.0025927141068506384,-0.002667464433129257,0.003771095095093673,3,0.6589659884199986,first_layer_training,first_layer_training|dataset=fashion|metric=conv1_drift,0.8058658727641947,1.0,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,di_wmf,initial_val_accuracy,5,8.556666666666667,10.466666666666665,1.9099999999999997,4.260943427093217,-3.3806600518046133,7.200660051804613,3,0.37289995313787083,first_layer_training,first_layer_training|dataset=fashion|metric=initial_val_accuracy,1.0,1.0,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,di_wmf,validation_aulc,5,54.36099999999999,59.30766666666666,4.946666666666665,0.8578817582342603,3.8814657727514392,6.011867560581892,5,0.00020866610705151537,first_layer_training,first_layer_training|dataset=fashion|metric=validation_aulc,0.0012519966423090922,0.014815293600657592,0.07178114082572129,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,di_wmf,test_accuracy,5,68.69000000000001,70.182,1.4919999999999987,0.7283680388375076,0.5876116287331846,2.396388371266813,5,0.010180413328268342,first_layer_training,first_layer_training|dataset=fashion|metric=test_accuracy,0.030541239984805027,0.5090206664134171,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,di_wmf,conv1_drift,5,0.016364974714815617,0.01765975970774889,0.0012947849929332734,0.0030980316363558662,-0.0025519293552261017,0.005141499341092648,3,0.4029329363820974,first_layer_training,first_layer_training|dataset=fashion|metric=conv1_drift,0.8058658727641947,1.0,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,lowrank_wmf,initial_val_accuracy,5,8.556666666666667,10.753333333333334,2.1966666666666663,4.296031760693684,-3.13756130572661,7.530894639059943,3,0.3166700925738491,first_layer_training,first_layer_training|dataset=fashion|metric=initial_val_accuracy,1.0,1.0,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,lowrank_wmf,validation_aulc,5,54.36099999999999,61.15200000000001,6.7909999999999995,1.3747386620332198,5.084036496414539,8.49796350358546,5,0.00038193721510112246,first_layer_training,first_layer_training|dataset=fashion|metric=validation_aulc,0.001603914136824509,0.025589793411775204,0.12642121819847155,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,lowrank_wmf,test_accuracy,5,68.69000000000001,71.69800000000001,3.0079999999999982,1.1624844084975958,1.5645849614953355,4.451415038504661,5,0.0044336269623875295,first_layer_training,first_layer_training|dataset=fashion|metric=test_accuracy,0.017734507849550118,0.24336554647629582,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
shared_downstream_repair_20260908,fashion,standard,,kaiming,lowrank_wmf,conv1_drift,5,0.016364974714815617,0.012218519672751426,-0.00414645504206419,0.002376613102905185,-0.007097409969600895,-0.0011955001145274847,0,0.017522972923492322,first_layer_training,first_layer_training|dataset=fashion|metric=conv1_drift,0.052568918770476966,0.8060567544806468,1.0,True,"exploratory_repair; inherited retrospective scope, not preregistered"
